TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Page Count,Place
A00002,99850634,15849,STC 1000.5; ESTC S115415,Free,"Aylett, Robert, 1583-1655?",1625,"The brides ornaments viz. fiue meditations, morall and diuine. 1. Knowledge, 2. zeale, 3. temperance, 4. bountie, 5. ioy.",,134,London
A00005,99842408,7058,STC 10000; ESTC S106695,Free,"Higden, Ranulf, d. 1364. Polycronicon. English. Selections.; Trevisa, John, d. 1402.",1515,Here begynneth a shorte and abreue table on the Cronycles ...; Saint Albans chronicle.,Great Britain -- History -- To 1485 -- Early works to 1800.; England -- Description and travel -- Early works to 1800.,302,London
A00007,99844302,9101,STC 10002; ESTC S108645,Free,"Higden, Ranulf, d. 1364. Polycronicon.",1528,"The Cronycles of Englonde with the dedes of popes and emperours, and also the descripcyon of Englonde; Saint Albans chronicle.",Great Britain -- History -- To 1485 -- Early works to 1800.; England -- Description and travel -- Early works to 1800.,386,London
A00008,99848896,14017,STC 10003; ESTC S113665,Free,"Wood, William, fl. 1623, attributed name.",1623,Considerations vpon the treaty of marriage between England and Spain,Great Britain -- Foreign relations -- Spain.,14,The Netherlands?
A00011,99837000,1304,STC 10008; ESTC S101178,Free,,1640,"Englands complaint to Iesus Christ, against the bishops canons of the late sinfull synod, a seditious conuenticle, a packe of hypocrites, a sworne confederacy, a traiterous conspiracy ... In this complaint are specified those impieties and insolencies, which are most notorious, scattered through the canons and constitutions of the said sinfull synod. And confuted by arguments annexed hereunto.",Church of England. -- Thirty-nine Articles -- Controversial literature.; Canon law -- Early works to 1800.,54,Amsterdam
A00012,99853871,19269,STC 1001; ESTC S118664,Free,"Aylett, Robert, 1583-1655?",1623,"Ioseph, or, Pharoah's fauourite; Joseph.",Joseph -- (Son of Jacob) -- Early works to 1800.,99,London
A00014,33143147,28259,STC 10011.6; ESTC S3200,Free,,1624,Greate Brittaines noble and worthy councell of warr,"England and Wales. -- Privy Council -- Portraits.; Great Britain -- History -- James I, 1603-1625.; Broadsides -- London (England) -- 17th century.",1,London
A00015,99837006,1310,STC 10011; ESTC S101184,Free,"Jones, William, of Usk.",1607,"Gods vvarning to his people of England By the great ouer-flowing of the vvaters or floudes lately hapned in South-wales and many other places. Wherein is described the great losses, and wonderfull damages, that hapned thereby: by the drowning of many townes and villages, to the vtter vndooing of many thousandes of people.",Floods -- Wales -- Early works to 1800.,16, London
A00018,99850740,15965,STC 10015; ESTC S115521,Free,,1558,The lame[n]tacion of England; Lamentacion of England.,"Great Britain -- History -- Mary I, 1553-1558 -- Early works to 1800.",26,Germany?
A00021,99836999,1303,STC 10017; ESTC S101177,Free,"Bacon, Francis, 1561-1626.",1599,"A letter vvritten out of England to an English gentleman remaining at Padua containing a true report of a strange conspiracie, contriued betweene Edward Squire, lately executed for the same treason as actor, and Richard Walpoole a Iesuite, as deuiser and suborner against the person of the Queenes Maiestie.","Squire, Edward, d. 1598.; Walpole, Richard, 1564-1607.; Great Britain -- History -- Elizabeth, 1558-1603 -- Early works to 1800.",16, London
A00024,99853869,19267,STC 1002; ESTC S118662,Free,"Aylett, Robert, 1583-1655?",1622,"Peace with her foure garders Viz. fiue morall meditations: of concord, chastitie, constancie. Courtesie. Grauitie. Eschew euill, and doe good, seeke peace and ensue it.",Conduct of life -- Early works to 1800.,62,London
A00025,29905398,28125,STC 10020.5; ESTC S3065,Free,,1613,"The Royall line of kings, queenes, and princes, from the vniting of the two royall houses, Yorke and Lancaster","Elizabeth, -- Queen, consort of Frederick I, King of Bohemia, 1596-1662.; Frederick -- I, -- King of Bohemia, 1596-1632.; Great Britain -- Kings and rulers.; Broadsides -- England -- 17th century.",1,London?
A00026,29900271,28115,STC 10021.7; ESTC S3055,Free,,1600,"A Table of the cheiffest citties, and townes in England, as they ly [sic] from London and the distance of miles, howe a man may travill from London to any of them or from any of them to London.",Great Britain -- Cities and towns.; Broadsides -- London (England) -- 16th century.,1,London
A00028,23006728,26061,STC 10023.5; ESTC S2071,Free,,1635,"A True chronologi of all the kings of England from Brute, the first king vnto our most sacred King Charles mo[n]arke of ye whole yies.",Great Britain -- Kings and rulers -- Succession.; Great Britain -- History.,1,London
A00033,22839131,25796,STC 10029.5; ESTC S846,Free,England and Wales. Sovereign (1558-1603 : Elizabeth I); Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker),1569,"Aduertisments partly for due order in the publique administration of common prayers and vsinge the holy sacramentes, and partly for the apparrell of all persons ecclesiasticall by vertue of the Queenes Maiesties letters commaunding the same, the xxv. day of January, in the seuenth yeare of the raigne of Oure Soueraigne Lady Elyzabeth, by the grace of God, of Englande, Fraunce and Irelande Queene, defender of the fayth, &c.",Church of England -- Customs and practices.,16, London
A00034,99836174,430,STC 1003; ESTC S100330,Free,"Aylett, Robert, 1583-1655?",1622,"Susanna: or, the arraignment of the two vniust elders",Susanna -- (Biblical figure) -- Poetry.,50,London
A00044,33143080,28216,STC 10034.7; ESTC S3157,Free,Church of England.,1579,"A declaration of certaine principall articles of religion set out by the order of both archbishops metropolitans, and the rest of the byshops, for the vnitie of doctrine to be taught and holden by all parsons, vicars, and curates aswell in testification of their common consent in the sayde doctrin, to the stopping of the mouthes of them that go about to slaunder the ministers of the church for diuersitie of iudgement, as necessarie for the instruction of their people, to be read by the syd parsons, vicars and curates, at their possession taking or first entrie into their cures, and also after that yeerely at two several times, that is to say, the Sundayes next following Easter day and Saint Michael tharchangell, or on some other Sunday within one moneth after those feastes, immediatly after the gospell.",Church of England. -- Thirty-nine Articles.; Broadsides -- London (England) -- 17th century.,1, London
A00049,99853870,19268,STC 1004; ESTC S118663,Free,"Aylett, Robert, 1583-1655?",1622,"Thrifts equipage Viz. fiue diuine and morall meditations, of 1. Frugalitie. 2. Prouidence. 3. Diligence. 4. Labour and care. 5. Death.",Conduct of life -- Early works to 1800.,66,London
