TCP,Author
A00002,"Aylett, Robert, 1583-1655?"
A00005,"Higden, Ranulf, d. 1364. Polycronicon. English. Selections.; Trevisa, John, d. 1402."
A00007,"Higden, Ranulf, d. 1364. Polycronicon."
A00008,"Wood, William, fl. 1623, attributed name."
A00011,
A00012,"Aylett, Robert, 1583-1655?"
A00014,
A00015,"Jones, William, of Usk."
A00018,
A00021,"Bacon, Francis, 1561-1626."
A00024,"Aylett, Robert, 1583-1655?"
A00025,
A00026,
A00028,
A00033,England and Wales. Sovereign (1558-1603 : Elizabeth I); Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker)
A00034,"Aylett, Robert, 1583-1655?"
A00044,Church of England.
A00049,"Aylett, Robert, 1583-1655?"
A00075,Church of England.
A00089,Church of England.
A00091,"Church of England.; Henry VIII, King of England, 1491-1547."
A00092,"Church of England.; Henry VIII, King of England, 1491-1547."
A00102,"England and Wales. Sovereign (1558-1603 : Elizabeth I); Elizabeth I, Queen of England, 1533-1603."
A00156,"Aytoun, Robert, Sir, 1570-1638."
A00157,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575."
A00158,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583."
A00159,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583."
A00164,"Aytoun, Robert, Sir, 1570-1638."
A00171,"Church of England. Diocese of Chichester. Bishop (1628-1638 : Montagu); Montagu, Richard, 1577-1641."
A00179,"Boorde, Andrew, 1490?-1549."
A00190,"Church of England. Province of Canterbury. Archbishop (1611-1633 : Abbot); Abbot, George, 1562-1633."
A00191,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594."
A00193,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594."
A00198,"Church of England. Diocese of London. Bishop (1539-1549, 1553-1559 : Bonner); Bonner, Edmund, 1500?-1569."
A00201,"Church of England. Diocese of London. Bishop (1570-1577 : Sandys); Sandys, Edwin, 1516?-1588."
A00211,"Church of England. Province of Canterbury. Archbishop (1633-1645 : Laud); Laud, William, 1573-1645."
A00214,"Church of England. Diocese of London. Bishop (1633-1660 : Juxon); Juxon, William, 1582-1663.; Heylyn, Peter, 1600-1662."
A00215,Church of England. Archdeaconry of London.; England and Wales. Privy Council.; Church of England. Diocese of London. Bishop (1611-1621 : King)
A00227,"Church of England. Diocese of Norwich.; Cranmer, Thomas, 1489-1556.; Church of England. Province of Canterbury. Archbishop (1533-1556 : Cranmer)"
A00229,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575.; Church of England. Diocese of Norwich."
A00230,"Church of England. Province of Canterbury. Archbishop (1604-1610 : Bancroft); Bancroft, Richard, 1544-1610."
A00233,"Church of England. Diocese of Norwich. Bishop (1635-1638 : Wren); Wren, Matthew, 1585-1667."
A00234,G. B.
A00235,"G. B., fl. 1592-1597."
A00249,"H. B., fl. 1588."
A00254,"Church of England. Diocese of Salisbury. Bishop (1559-1571 : Jewel); Jewel, John, 1522-1571."
A00256,"Church of England. Diocese of Salisbury. Bishop (1618-1619 : Fotherby); Fotherby, Martin, Bishop of Salisbury, 1559-1619."
A00257,"H. B., fl. 1566."
A00259,"H. B., fl. 1593.; Broughton, Hugh, 1549-1612, attributed name."
A00260,Church of England. Archdeaconry of Surrey.
A00261,"I. B., fl. 1547.; Bale, John, 1495-1563, attributed author.; Bradford, John, 1510?-1555, attributed author."
A00263,"Church of England. Diocese of Winchester. Bishop (1597-1616 : Bilson); Bilson, Thomas, 1546 or 7-1616."
A00265,"Church of England. Archdeaconry of Worcester.; Johnson, John, Archdeacon of Worcester."
A00267,"Church of England. Province of York. Archbishop (1570-1576 : Grindal); Grindal, Edmund, 1519?-1583."
A00268,"Church of England. Province of York. Archbishop (1576-1588 : Sandys); Sandys, Edwin, 1516?-1588."
A00271,"Verstegan, Richard, ca. 1550-1640."
A00275,"Whittingham, William, d. 1579, attrib. name."
A00277,"Gilby, Anthony, ca. 1510-1585.; Pilkington, James, 1520?-1576."
A00281,"Northampton, Henry Howard, Earl of, 1540-1614."
A00283,"Fenner, Dudley, 1558?-1587, attributed name.; Fulke, William, 1538-1589, attributed name.; Travers, Walter, 1547 or 8-1635, attributed name."
A00285,Church of England.
A00287,
A00289,
A00293,"Deloney, Thomas, 1543?-1600, attributed name."
A00301,"Epictetus.; Sandford, James."
A00303,"Epictetus.; Cebes, of Thebes, attributed name.; Healey, John, d. 1610."
A00313,"Erasmus, Desiderius, d. 1536.; Robertson, Bartholomew, fl. 1620."
A00316,"Erasmus, Desiderius, d. 1536.; Udall, Nicholas, 1505-1556."
A00320,"Erasmus, Desiderius, d. 1536."
A00321,"I. B.; Bate, John.; Bennet, John, Sir, d. 1627."
A00325,"Erasmus, Desiderius, d. 1536."
A00327,"Erasmus, Desiderius, d. 1536.; Lesse, Nicholas."
A00329,"Erasmus, Desiderius, d. 1536."
